Accession,HT.ORL,CIRC.ORL,BF.ORL,BS.ORL,BS.SAV,CIRC.SAV,BF.SAV,RUST.ORL
1-A01,200.0466526,5.048141316,2.166666667,1.583333332,1.527300436,Low,Very low,White
1-A02,326.2045709,8.072040598,2.833333333,1.999999998,1.083333333,Low,Low,Blue
1-A03,284.2196948,7.11186057,3,1.833333332,2.427300436,High,Low,Blue
1-A06,211.4417205,7.592932645,4,1.833333332,1.405979895,Low,High,White
1-A07,211.2536108,5.170886029,3.333333333,1.333333332,1.75,Low,Medium,White
1-A08,212.1260071,5.387704589,3,1.333333332,2.02691801,Very low,Medium,White
1-A09,181.805082,5.088462981,2.833333333,1.583333332,2.333333333,Low,Very low,White
1-A11,165.8885773,4.570715463,1.333333333,1.499999998,1.693584677,Very low,Very low,Blue
1-A13,235.7173547,6.231723695,2.348107598,1.60593905,1.905979895,Low,Low,White
1-A14,251.2216065,6.148518444,2.999503474,1.247163678,1.22740694,Low,Low,White
1-A16,278.9629506,7.513582954,3,0.999999998,1.780979895,Medium,Medium,White
1-A17,195.0151224,5.598387557,2.833333333,1.333333332,1.78917899,Low,Medium,White
1-A18,243.8677027,6.011176437,4.025564868,1.642898694,2,Medium,Low,White
1-A23,224.6623504,6.114740033,2.666666667,1.916666665,1.416666667,Medium,Very low,White
1-A25,252.8661095,5.669445679,3.666666667,1.749999998,2.666666667,Medium,Medium,Green
1-A26,256.7182475,6.318604479,3.166666667,1.999999998,1.86698411,Low,Low,White
1-A27,217.5866903,5.921263295,2.833333333,1.749999998,1.666666667,Low,Medium,White
1-J02,286.0994998,6.608119374,3.5,1.833333332,2.416666667,Medium,Low,White
1-J03,266.9699045,6.685615525,3.5,1.666666665,2,Low,Low,White
1-J04,245.2922962,5.998814006,3.024705242,1.050574428,1.166666667,Low,Low,White
1-J05,238.3281254,6.25375667,4,1.749999998,2,Medium,Medium,White
1-J07,231.898156,5.358394524,2,1.916666665,2.127300436,Medium,Low,White
1-J08,312.2874033,8.091201789,3.833333333,1.916666665,2.392746562,Medium,High,Blue
1-J10,343.8518662,8.339819413,4.333333333,2.124999998,2.611702122,Medium,Medium,White
1-J11,273.1921113,6.949851545,4.333333333,1.749999998,2.296103808,Medium,High,White
1-J13,250.5954073,6.415080387,3,1.416666665,1.427300436,High,Medium,White
1-J14,327.1738549,7.665819275,3.166666667,1.583333332,1.997186724,Low,Medium,White
1-J15,185.7677525,4.544199499,3.166666667,1.583333332,2.333333333,Medium,Low,Green
1-J16,264.5015679,6.054547111,4,1.916666665,2.481603498,Medium,High,White
1-J17,328.9085118,7.6337739,4.166666667,1.999999998,2.083333333,Medium,Medium,White
1-J18,208.2587172,5.047818966,3.624705242,1.550574428,2.5,Low,Medium,Green
1-J19,248.6242615,6.381334808,3.166666667,1.499999998,2,Medium,Medium,White
1-J20,256.0415343,6.030158144,3.333333333,1.583333332,1.916666667,Medium,Low,Green
1-J21,180.7279489,4.899847115,3.333333333,1.333333332,2.127300436,Very low,Medium,Blue
1-J23,222.2200332,5.529712235,2.5,1.833333332,2.611062963,Medium,Low,White
1-J24,233.0257635,6.087129417,3.166666667,1.416666665,2.797186724,Medium,Medium,Green
1-J25,321.6803042,9.241037198,4.666666667,2.166666665,2.416666667,High,High,White
1-J26,269.4331275,6.125466878,4.348107598,2.10593905,2.027300436,Medium,High,White
1-J27,202.6509036,6.482032156,2.554949564,1.306359984,1.627300436,Low,Low,Blue
1-J29,338.3949691,8.594773821,4,2.583333332,2.99748348,High,Medium,White
1-J31,296.4807901,7.445846177,2,1.749999998,2.333333333,Medium,Very low,White
58-861,392.7772978,9.111247435,2.666666667,1.666666665,NA,High,NA,White
6-A01,313.6974217,7.805750005,2.833333333,1.583333332,2,High,Low,White
6-A05,401.2305028,9.552302814,4.333333333,1.833333332,2.583333333,High,High,White
6-A06,251.945478,5.968981109,3.374866019,1.47753383,1.666666667,Very low,Very low,White
6-A09,209.1466028,6.025735206,2.5,1.249999998,1.79748348,Medium,Very low,White
6-A11,277.0217256,7.090393205,2.833333333,1.499999998,1.792746562,Low,Low,White
6-A13,267.212667,7.76927516,4.666666667,1.749999998,1.79748348,Medium,Medium,White
6-A14,425.6919667,9.523217588,4,1.666666665,2.38917899,High,Medium,Blue
6-A15,304.8173375,7.637971694,4.166666667,1.749999998,2.496103808,Low,High,White
6-A16,309.1101832,7.485433447,2.5,1.416666665,1.522776917,Low,Low,Blue
6-A17,210.9273858,6.285382178,2.833333333,2.083333332,2.627300436,Low,Low,White
6-A18,278.9450848,6.728699103,3,1.833333332,1.770599283,Low,Medium,White
6-A19,241.3507695,7.734684089,4.166666667,1.242898694,2.092746562,Medium,High,White
6-A22,218.9900483,5.393346708,3.833333333,1.833333332,2.227300436,Very low,Very low,White
6-A25,258.5300318,7.059087563,1,0.999999998,1.111062963,Low,Very low,White
6-A26,245.2764157,7.447165666,3.833333333,1.583333332,2.580535628,Medium,Medium,White
6-A28,335.3978386,7.916627547,4.166666667,1.833333332,1.596103808,Medium,High,White
6-A29,259.5174323,6.681970832,3.666666667,1.749999998,2.583333333,Medium,High,White
6-A30,248.4175881,6.217803272,2.847169254,1.847064156,2.827300436,Low,Low,Blue
6-A31,311.2201591,8.484776633,2.624705242,2.350574428,2.492746562,Medium,Very low,White
6-A33,226.9717542,5.910788792,3.166666667,0.999999998,1.796103808,Low,Medium,Green
6-J01,248.6425197,6.230168646,3.833333333,2.166666665,2.833333333,Medium,Medium,White
6-J02,287.2946816,7.474927654,3.833333333,1.583333332,1.862787553,Medium,Medium,White
6-J03,298.9236999,7.790355708,4.333333333,1.666666665,2.5,Medium,High,Blue
6-J04,315.4536948,8.085993519,4.5,1.999999998,2.083333333,High,High,Blue
6-J06,311.4908985,8.203871166,3.647169254,1.447064156,2.11698411,Medium,High,Blue
6-J07,214.566338,6.038474555,2.333333333,1.583333332,2.392746562,Low,Very low,White
6-J08,274.7289239,6.728413673,4.166666667,1.749999998,2.083333333,Medium,High,White
6-J10,234.9922095,6.57665405,2.354949564,2.806359984,2.736062963,Low,Very low,Blue
6-J12,258.4426297,6.950001116,2.666666667,1.583333332,2.618337755,Low,Medium,Blue
6-J13,272.9771407,7.461592472,2.666666667,1.999999998,1.650058748,Very low,Very low,Blue
6-J15,397.8310244,9.324739629,4.666666667,2.083333332,2.496103808,High,High,Green
6-J16,318.9984511,7.83431036,3.833333333,1.583333332,2.5,Very high,High,White
6-J17,344.7746609,8.400175143,2.833333333,2.083333332,2.796103808,Low,Low,Blue
6-J18,364.3163119,9.258183745,4.447169254,2.247064156,2.90560895,Medium,Very high,Blue
6-J20,257.1798467,7.355010446,3.5,1.333333332,2.166666667,Medium,Low,White
6-J21,326.7406818,7.899343689,4.166666667,1.499999998,2.292746562,High,High,White
6-J22,293.586015,7.701673969,3.5,1.666666665,2.666666667,High,Medium,White
6-J23,336.0758672,8.576165049,4.247169254,1.947064156,2.997186724,High,Medium,White
6-J24,316.075635,7.832441184,4.247169254,1.947064156,3,High,High,White
6-J25,376.0570196,9.614078742,4,1.416666665,2.196103808,Medium,Low,White
6-J26,289.2588315,7.840366371,5,1.583333332,2.5,High,Very high,White
6-J30,367.1982516,9.053510668,4,1.833333332,1.527300436,Medium,High,Blue
ALL-001,251.4794482,6.279403838,2.847169254,0.947064156,1.083333333,Medium,Low,Green
ALL-002,210.6531318,5.680976657,1.5,0.416666665,1.583333333,Low,Low,White
ALL-005,267.3012833,7.219000702,2,1.916666665,1.916666667,Medium,Very low,White
ALL-006,277.5705485,7.145792229,1.166666667,1.249999998,1.59748348,Medium,Medium,White
ALL-007,254.8172399,7.028787291,4.166666667,1.249999998,1.53060895,Medium,High,White
ALL-008,243.3245401,6.661701577,1.833333333,1.416666665,2.993337755,Medium,Very low,White
ALL-009,230.0467502,6.067488659,1.399503474,1.547163678,1.727300436,Low,Very low,White
ALL-010,200.2699544,6.012226968,2.666666667,1.666666665,2.916666667,Medium,Low,White
ALL-011,289.6468973,7.070928815,2.833333333,0.999999998,2.09748348,Medium,Medium,White
ALL-012,209.8670449,5.994177965,1,0.666666665,0.666666667,Medium,Very low,White
ALL-013,251.9879694,6.329886133,0.5,0.749999998,1.09748348,Medium,Very low,Green
ALL-014,194.2139472,5.76985403,1.333333333,0.333333332,0.583333333,Medium,Very low,White
ALL-015,248.0508914,6.415544654,2.5,1.499999998,2.85430539,Medium,Medium,Green
ALL-016,206.0298549,5.611093389,1,1.333333332,1.89748348,Low,Very low,White
ALL-017,214.5338835,6.256500688,2,1.666666665,2.5,Medium,Very low,White
ALL-019,243.3844305,7.158093644,2,2.083333332,2.99748348,Medium,Very low,White
ALL-020,240.0571024,6.6815114,1.666666667,1.083333332,0.970782537,Medium,Very low,White
ALL-021,197.2219551,6.073608023,1.025564868,0.642898694,1.833333333,Medium,Very low,White
ALL-023,297.5987006,7.256636008,3.312837638,1.241841405,2.083333333,Medium,Low,White
ALL-025,261.8998736,6.391850129,1.666666667,1.416666665,2.59748348,Medium,Very low,Green
ALL-026,227.8837775,6.27380414,2.333333333,0.749999998,1.28917899,Medium,Low,White
ALL-027,270.9320987,6.903236716,1.824705242,1.950574428,2.75,Medium,Very low,White
ALL-029,301.8095896,6.71630275,3.833333333,0.916666665,2.083333333,Medium,High,White
ALL-030,274.6075279,7.197560553,2.666666667,1.749999998,2.083333333,Medium,Low,White
ALL-031,218.6285522,6.430039291,3.666666667,1.083333332,1.333333333,Medium,High,White
ALL-032,258.3721656,6.77373257,2.5,0.999999998,1.10240694,Medium,Low,Green
ALL-033,284.5537928,6.710800261,2.799503474,1.447163678,1.233328088,Medium,Very low,Green
ALL-034,202.0821338,5.810953523,0.833333333,1.333333332,2.297186724,Low,Very low,White
ALL-036,262.6088939,7.142299929,0.5,1.416666665,0.996103808,Low,Very low,White
ALL-037,307.8840647,7.257695704,1.873805536,1.526551364,2.006291696,Medium,Very low,White
ALL-040,251.0564785,7.025758018,4.166666667,1.499999998,1.666666667,Medium,High,White
ALL-041,282.0103104,6.535206054,1.829065607,1.40089547,1.75,Medium,Very low,Blue
ALL-042,301.3104426,6.891677363,0.333333333,1.749999998,1.74198411,Low,Very low,White
ALL-044,204.0734523,5.130796233,1.599503474,1.047163678,0.655979895,Low,Very low,White
ALL-045,315.2836407,7.068297362,2.599503474,1.747163678,2.280979895,Low,Low,White
AST-001,281.0182063,8.142486829,2.833333333,1.999999998,2.083333333,Medium,Low,Blue
AST-002,382.7804657,8.817463761,2.5,2.249999998,2.916666667,Medium,Very low,Blue
AST-003,302.9196908,7.813307138,0.599503474,2.147163678,2,Low,Very low,White
AST-004,292.2516524,7.352991447,2.5,1.999999998,2,Medium,Very low,Blue
AST-005,299.2730556,8.589011052,2.5,2.749999998,2.916666667,Medium,Very low,Blue
AST-006,320.8065108,7.483791071,2,2.416666665,2.833333333,Low,Very low,White
AST-007,253.9807828,6.396703432,1.833333333,1.833333332,1.727300436,Low,Very low,White
AST-008,279.8277552,7.378295476,3,1.749999998,2.416666667,Medium,Very low,Blue
AST-010,308.5549035,7.600133449,3,1.749999998,2.583333333,Medium,Very low,Blue
BDX-002,328.6558509,8.03662758,2.833333333,2.083333332,2.333333333,Medium,Low,White
BDX-003,330.2824649,8.035591845,3.833333333,1.416666665,2.192746562,Low,Medium,White
BDX-005,284.9880234,8.45948821,2,1.749999998,1.916666667,Medium,Very low,Blue
BDX-006,297.2835998,8.275711248,2.5,2.666666665,2.79748348,Low,Very low,Blue
BDX-007,335.8078864,9.067474497,2.666666667,1.999999998,2.916666667,Medium,Very low,Blue
BDX-009,353.8906457,8.79667587,2.954949564,2.306359984,2.527300436,Medium,Medium,Blue
BLR-002,321.0673288,9.031519083,2,2.499999998,1.916666667,Medium,Very low,Blue
BS-05,355.4027131,9.540351808,3.833333333,2.833333332,3,Medium,Medium,Blue
BS-14,223.2218927,7.075361558,3.625564868,2.442898694,1.905979895,Very low,Medium,White
BS-18,202.2217313,6.445086079,4.288626567,2.160002377,2.99198411,Very low,High,White
BS-30,84.2068383,NA,4.425564868,2.542898694,2.833333333,Very low,Very high,Blue
BS-33,311.5302708,7.326769111,3.666666667,2.916666665,2.083333333,Medium,High,White
BS-36,338.2733089,8.048231915,4.166666667,2.916666665,2.692746562,Low,Medium,White
BS-37,232.7235057,5.912607208,4.247169254,2.547064156,2.612416608,Very low,NA,White
BSL-001,308.4686677,7.553532698,3.555555556,1.472222221,2.216746028,Medium,Medium,White
BSL-005,274.0406507,6.454923444,2.833333333,1.999999998,2.827300436,Medium,Low,White
BSL-006,267.4842966,6.585029526,3.333333333,1.583333332,1,Medium,Medium,Green
BSL-007,273.3535462,6.931508252,3.333333333,1.833333332,2.327300436,Medium,Medium,White
BSL-008,218.8460988,6.510070509,2.799503474,1.747163678,1.916666667,Medium,Medium,White
BSL-009,253.0582882,6.678907141,3.333333333,0.999999998,0.84870998,Medium,Medium,Green
BSL-011,371.5064392,7.887604958,4,1.583333332,2.227300436,High,Medium,White
BSL-012,252.687932,6.64906321,2.833333333,1.249999998,0.916666667,Low,Low,White
BSL-013,284.651149,6.507752889,4.666666667,1.499999998,2.096103808,Medium,High,White
BSL-014,260.6629917,6.866003409,3,1.583333332,2.583333333,Medium,Medium,White
BSL-016,235.5384153,6.364170006,3.781335428,1.487577968,1.916666667,Medium,Medium,Green
BSL-017,353.9129749,8.014330922,2.225564868,1.542898694,2.027300436,Medium,Low,White
BSL-018,321.2347723,7.562569361,2.666666667,1.583333332,1.916666667,Medium,Low,White
BSL-019,268.070196,5.68528935,2.545228852,1.06689258,1.007153991,Low,Very low,Blue
BSL-021,288.8364038,6.800161665,3.5,1.166666665,1.827300436,High,Medium,White
BSL-022,247.890826,6.728653405,3.333333333,0.666666665,0.583333333,Very low,Medium,White
BSL-023,209.9947548,4.868898742,2.046139477,0.493871397,1.145599283,Medium,Low,White
BSL-024,218.3155078,5.719671309,4.333333333,0.583333332,0.727300436,Low,High,Green
BSL-025,308.1763646,7.155542369,3,1.416666665,1.5,Medium,Medium,Green
BSL-026,285.4146119,7.478437592,1.548107598,0.70593905,0.68917899,Medium,Low,White
BSL-027,299.0527782,7.222470067,2.833333333,1.833333332,2.196103808,Medium,Low,White
BSL-028,259.4239965,6.493950877,3.166666667,0.916666665,1.19748348,Medium,Medium,Green
BSL-029,291.5674458,7.049561953,3.780260895,1.747172635,1.627300436,Medium,Medium,White
BSL-030,252.8175272,6.101649864,4.166666667,1.249999998,1.083333333,Medium,Medium,Green
BSL-031,301.7838369,6.971968512,4.047169254,1.547064156,1.612787553,Medium,Medium,White
BSL-032,256.2194868,6.542811466,2.833333333,1.222222221,1.497335102,Low,Low,White
BSL-035,313.8751345,7.2297247,4,1.833333332,2.496103808,Medium,High,White
BSL-036,222.5315218,6.029598202,3.566895115,1.157756434,1.407812147,Medium,High,White
BSL-038,333.2360977,7.564330701,3.548107598,1.80593905,2,High,Medium,Green
BSL-039,262.9126042,6.245771434,3.333333333,1.249999998,2.25,Medium,Medium,Green
BSL-040,223.6956436,6.054478308,4.025564868,1.333333332,1.280979895,Medium,Very high,White
BSL-042,228.8208254,7.375026121,3.666666667,0.833333332,0.827300436,Medium,Low,Green
BSL-043,255.1601752,6.577736673,2.666666667,1.416666665,1.427300436,Low,Low,White
CTR-001,266.7106457,6.935438673,1.916666667,2.166666665,2.596103808,Very low,Very low,Blue
CTR-005,201.7399022,6.48090186,2.166666667,0.999999998,2.083333333,Low,Very low,Blue
CTR-006,311.5786386,7.60510849,3,1.749999998,2.833333333,Medium,Low,White
CTR-007,284.8621172,7.48855956,2.225564868,1.942898694,2.583333333,Low,Very low,Blue
CTR-009,347.7869757,8.571267872,2.5,2.350574428,2.833333333,High,Very low,White
DRA-001,255.9254061,6.293986688,2.999503474,1.347163678,1.279255305,High,Low,White
DRA-002,221.0006173,6.385677108,2.5,1.166666665,1.416666667,High,Low,Green
